ID,Name,Link
339,Sega Pico,https://www.igdb.com/platforms/sega-pico
372,OOParts,https://www.igdb.com/platforms/ooparts
373,Sinclair ZX81,https://www.igdb.com/platforms/sinclair-zx81
374,Sharp MZ-2200,https://www.igdb.com/platforms/sharp-mz-2200
375,Epoch Cassette Vision,https://www.igdb.com/platforms/epoch-cassette-vision
376,Epoch Super Cassette Vision,https://www.igdb.com/platforms/epoch-super-cassette-vision
377,Plug & Play,https://www.igdb.com/platforms/plug-and-play
378,Gamate,https://www.igdb.com/platforms/gamate
379,Game.com,https://www.igdb.com/platforms/game-dot-com
380,Casio Loopy,https://www.igdb.com/platforms/casio-loopy
381,Playdate,https://www.igdb.com/platforms/playdate
382,Intellivision Amico,https://www.igdb.com/platforms/intellivision-amico
384,Oculus Quest,https://www.igdb.com/platforms/oculus-quest
385,Oculus Rift,https://www.igdb.com/platforms/oculus-rift
386,Meta Quest 2,https://www.igdb.com/platforms/meta-quest-2
387,Oculus Go,https://www.igdb.com/platforms/oculus-go
388,Gear VR,https://www.igdb.com/platforms/gear-vr
389,AirConsole,https://www.igdb.com/platforms/airconsole
390,PlayStation VR2,https://www.igdb.com/platforms/psvr2
405,Windows Mobile,https://www.igdb.com/platforms/windows-mobile
406,Sinclair QL,https://www.igdb.com/platforms/sinclair-ql
407,HyperScan,https://www.igdb.com/platforms/hyperscan
408,Mega Duck/Cougar Boy,https://www.igdb.com/platforms/mega-duck-slash-cougar-boy
409,Legacy Computer,https://www.igdb.com/platforms/legacy-computer
410,Atari Jaguar CD,https://www.igdb.com/platforms/atari-jaguar-cd
411,Handheld Electronic LCD,https://www.igdb.com/platforms/handheld-electronic-lcd
412,Leapster,https://www.igdb.com/platforms/leapster
413,Leapster Explorer/LeadPad Explorer,https://www.igdb.com/platforms/leapster-explorer-slash-leadpad-explorer
414,LeapTV,https://www.igdb.com/platforms/leaptv
415,Watara/QuickShot Supervision,https://www.igdb.com/platforms/watara-slash-quickshot-supervision
416,Nintendo 64DD,https://www.igdb.com/platforms/nintendo-64dd
417,Palm OS,https://www.igdb.com/platforms/palm-os
438,Arduboy,https://www.igdb.com/platforms/arduboy
439,V.Smile,https://www.igdb.com/platforms/vsmile
440,Visual Memory Unit / Visual Memory System,https://www.igdb.com/platforms/visual-memory-unit-slash-visual-memory-system
441,PocketStation,https://www.igdb.com/platforms/pocketstation
